Subject,Supervoxel,Habitats,Count,raw-T1,raw-T2,raw-T1-original,raw-T2-original
sub20,32,3,499,4.0,9.0,98.23046092184369,139.48296593186373
sub20,33,2,325,5.0,2.0,111.43692307692308,72.48615384615384
sub20,34,1,1680,0.0,2.0,69.10595238095237,72.11190476190477
sub20,35,2,265,7.0,4.0,127.51320754716981,92.16603773584906
sub20,36,1,3277,2.0,4.0,85.02624351541044,92.59505645407384
sub20,37,2,780,9.0,0.0,238.71153846153845,55.37820512820513
sub20,38,3,2523,1.0,9.0,81.14268727705112,132.47245342845818
sub20,39,1,605,4.0,3.0,100.52231404958678,85.19338842975206
sub20,40,3,1332,0.0,6.0,68.1403903903904,104.47297297297297
sub20,41,1,1559,0.0,4.0,67.39961513790891,87.40218088518282
sub20,42,1,781,3.0,2.0,91.32650448143406,75.31882202304737
sub20,43,1,1252,1.0,0.0,80.27316293929712,63.97843450479233
sub20,44,1,3743,1.0,4.0,77.65669249265295,86.54368153887256
sub20,45,3,471,4.0,5.0,102.3312101910828,97.71337579617834
sub20,46,3,2461,1.0,6.0,77.5619666802113,105.85168630637952
sub20,47,1,2007,0.0,1.0,70.39661185849526,64.39810662680618
sub20,48,3,2207,2.0,6.0,88.82147711826008,103.40734028092433
sub20,49,1,2547,1.0,2.0,75.51236749116607,74.9093050647821
sub20,50,3,3156,1.0,5.0,77.25,99.09790874524715
sub25,1,1,321,0.0,0.0,162.0778816199377,134.02180685358255
sub25,2,2,233,7.0,4.0,191.1459227467811,207.07725321888412
sub25,3,1,208,3.0,2.0,179.84134615384616,182.63942307692307
sub25,4,4,121,9.0,8.0,200.92561983471074,256.05785123966945
sub25,5,4,106,5.0,9.0,183.5754716981132,349.95283018867923
sub25,6,2,242,9.0,5.0,201.78925619834712,223.6694214876033
sub25,7,2,225,6.0,2.0,187.89777777777778,179.1511111111111
sub25,8,1,183,2.0,2.0,175.27868852459017,178.45901639344262
sub25,9,4,57,7.0,8.0,192.7017543859649,259.7543859649123
sub25,10,2,120,7.0,5.0,190.60833333333332,225.63333333333333
sub25,11,1,199,2.0,1.0,174.5929648241206,163.92964824120602
sub25,12,2,191,7.0,3.0,192.4607329842932,187.4607329842932
sub25,13,2,233,8.0,5.0,197.0343347639485,220.76824034334763
sub25,14,2,142,5.0,4.0,184.91549295774647,210.28169014084506
sub25,15,3,21,0.0,9.0,166.8095238095238,336.9047619047619
sub25,16,2,268,8.0,4.0,196.84701492537314,204.5410447761194
sub25,17,1,109,3.0,0.0,179.75229357798165,151.9908256880734
sub25,18,3,64,4.0,5.0,181.0625,219.5
sub25,19,2,263,5.0,3.0,186.21292775665398,191.79467680608366
sub25,20,1,235,3.0,1.0,178.94893617021276,169.46382978723403
sub25,21,2,294,6.0,3.0,190.41836734693877,195.48299319727892
